order_id,kategori,kota,unit_terjual,harga_satuan
TRX-0,Makanan & Minuman,Purworejo,8,75000
TRX-1,Elektronik,Solo,9,75000
TRX-2,Kesehatan & Kecantikan,Solo,6,100000
TRX-3,Fashion,Yogyakarta,6,100000
TRX-4,Elektronik,Yogyakarta,2,75000
TRX-5,Kesehatan & Kecantikan,Magelang,4,100000
TRX-6,Rumah Tangga,Magelang,6,25000
TRX-7,Elektronik,Semarang,8,50000
TRX-8,Fashion,Semarang,5,25000
TRX-9,Elektronik,Yogyakarta,3,100000
TRX-10,Kesehatan & Kecantikan,Purworejo,6,50000
TRX-11,Makanan & Minuman,Magelang,1,75000
TRX-12,Kesehatan & Kecantikan,Purworejo,4,100000
TRX-13,Elektronik,Semarang,3,100000
TRX-14,Kesehatan & Kecantikan,Purworejo,8,50000
TRX-15,Kesehatan & Kecantikan,Semarang,1,100000
TRX-16,Makanan & Minuman,Magelang,5,50000
TRX-17,Fashion,Semarang,1,50000
TRX-18,Elektronik,Magelang,7,150000
TRX-19,Elektronik,Magelang,2,100000
TRX-20,Elektronik,Semarang,1,50000
TRX-21,Makanan & Minuman,Solo,7,25000
TRX-22,Rumah Tangga,Semarang,5,25000
TRX-23,Kesehatan & Kecantikan,Purworejo,5,100000
TRX-24,Kesehatan & Kecantikan,Magelang,1,50000
TRX-25,Rumah Tangga,Yogyakarta,6,100000
TRX-26,Fashion,Solo,7,25000
TRX-27,Rumah Tangga,Magelang,3,50000
TRX-28,Elektronik,Purworejo,8,50000
TRX-29,Rumah Tangga,Solo,7,75000
TRX-30,Rumah Tangga,Solo,5,100000
TRX-31,Rumah Tangga,Semarang,9,100000
TRX-32,Fashion,Magelang,8,100000
TRX-33,Makanan & Minuman,Magelang,8,150000
TRX-34,Fashion,Purworejo,8,150000
TRX-35,Elektronik,Purworejo,9,150000
TRX-36,Makanan & Minuman,Purworejo,3,50000
TRX-37,Elektronik,Purworejo,6,25000
TRX-38,Kesehatan & Kecantikan,Solo,8,50000
TRX-39,Makanan & Minuman,Semarang,6,150000
TRX-40,Elektronik,Solo,1,50000
TRX-41,Makanan & Minuman,Magelang,9,50000
TRX-42,Elektronik,Magelang,4,25000
TRX-43,Rumah Tangga,Solo,1,25000
TRX-44,Makanan & Minuman,Semarang,4,100000
TRX-45,Kesehatan & Kecantikan,Purworejo,3,75000
TRX-46,Elektronik,Solo,2,25000
TRX-47,Makanan & Minuman,Yogyakarta,5,50000
TRX-48,Makanan & Minuman,Semarang,7,25000
TRX-49,Fashion,Semarang,7,150000
TRX-50,Kesehatan & Kecantikan,Solo,8,75000
TRX-51,Rumah Tangga,Semarang,4,75000
TRX-52,Kesehatan & Kecantikan,Purworejo,9,75000
TRX-53,Makanan & Minuman,Yogyakarta,3,25000
TRX-54,Fashion,Semarang,3,75000
TRX-55,Makanan & Minuman,Purworejo,2,100000
TRX-56,Elektronik,Purworejo,2,150000
TRX-57,Elektronik,Yogyakarta,6,75000
TRX-58,Kesehatan & Kecantikan,Purworejo,7,50000
TRX-59,Kesehatan & Kecantikan,Yogyakarta,3,50000
TRX-60,Makanan & Minuman,Yogyakarta,2,150000
TRX-61,Fashion,Yogyakarta,1,100000
TRX-62,Makanan & Minuman,Purworejo,4,50000
TRX-63,Makanan & Minuman,Solo,6,50000
TRX-64,Elektronik,Solo,2,25000
TRX-65,Kesehatan & Kecantikan,Yogyakarta,2,25000
TRX-66,Rumah Tangga,Semarang,9,25000
TRX-67,Kesehatan & Kecantikan,Semarang,5,150000
TRX-68,Rumah Tangga,Yogyakarta,5,75000
TRX-69,Makanan & Minuman,Magelang,3,75000
TRX-70,Elektronik,Yogyakarta,7,50000
TRX-71,Elektronik,Purworejo,5,150000
TRX-72,Kesehatan & Kecantikan,Semarang,4,50000
TRX-73,Makanan & Minuman,Semarang,5,100000
TRX-74,Elektronik,Purworejo,2,50000
TRX-75,Elektronik,Solo,1,50000
TRX-76,Makanan & Minuman,Purworejo,3,25000
TRX-77,Makanan & Minuman,Magelang,6,100000
TRX-78,Makanan & Minuman,Yogyakarta,3,75000
TRX-79,Fashion,Solo,4,75000
TRX-80,Rumah Tangga,Solo,1,50000
TRX-81,Makanan & Minuman,Semarang,9,150000
TRX-82,Fashion,Yogyakarta,1,25000
TRX-83,Kesehatan & Kecantikan,Solo,8,150000
TRX-84,Fashion,Semarang,4,100000
TRX-85,Kesehatan & Kecantikan,Yogyakarta,3,50000
TRX-86,Fashion,Solo,5,50000
TRX-87,Kesehatan & Kecantikan,Magelang,7,25000
TRX-88,Makanan & Minuman,Solo,7,75000
TRX-89,Makanan & Minuman,Yogyakarta,9,25000
TRX-90,Elektronik,Solo,8,150000
TRX-91,Elektronik,Solo,2,150000
TRX-92,Fashion,Solo,9,150000
TRX-93,Makanan & Minuman,Yogyakarta,6,75000
TRX-94,Fashion,Yogyakarta,2,100000
TRX-95,Fashion,Yogyakarta,9,100000
TRX-96,Elektronik,Purworejo,8,50000
TRX-97,Fashion,Yogyakarta,2,150000
TRX-98,Fashion,Yogyakarta,3,25000
TRX-99,Kesehatan & Kecantikan,Magelang,6,25000
TRX-100,Makanan & Minuman,Purworejo,4,150000
TRX-101,Fashion,Semarang,7,100000
